,avg_ratings,all_ratings,actual_price,with_discount,reviews
0,4.2,"67,310 Ratings","₹9,999","₹6,249"," 3,748 Reviews"
1,4.1,"7,390 Ratings","₹10,999","₹6,499", 306 Reviews
2,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
3,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
4,4.2,"1,01,658 Ratings","₹10,999","₹7,699"," 4,749 Reviews"
5,4.2,"1,01,658 Ratings","₹11,499","₹8,299"," 4,749 Reviews"
6,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
7,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
8,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
9,3.6,"4,406 Ratings","₹12,999","₹8,799", 214 Reviews
10,4.3,"3,223 Ratings","₹9,999","₹6,657", 136 Reviews
11,4.5,471 Ratings,"₹57,999","₹52,763", 38 Reviews
12,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
13,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
14,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
15,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
16,4.4,"1,11,561 Ratings","₹17,999","₹13,999"," 5,538 Reviews"
17,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
18,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
19,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
20,4.2,"67,519 Ratings","₹15,999","₹9,999"," 3,934 Reviews"
21,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
22,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
23,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
24,4.2,"67,310 Ratings","₹9,999","₹6,249"," 3,748 Reviews"
25,4.1,"7,390 Ratings","₹10,999","₹6,499", 306 Reviews
26,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
27,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
28,4.2,"1,01,658 Ratings","₹10,999","₹7,699"," 4,749 Reviews"
29,4.2,"1,01,658 Ratings","₹11,499","₹8,299"," 4,749 Reviews"
30,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
31,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
32,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
33,3.6,"4,406 Ratings","₹12,999","₹8,799", 214 Reviews
34,4.3,"3,223 Ratings","₹9,999","₹6,657", 136 Reviews
35,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
36,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
37,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
38,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
39,4.4,"1,11,561 Ratings","₹17,999","₹13,999"," 5,538 Reviews"
40,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
41,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
42,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
43,4.2,"67,519 Ratings","₹15,999","₹9,999"," 3,934 Reviews"
44,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
45,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
46,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
47,4.3,"6,717 Ratings","₹16,999","₹12,999", 294 Reviews
48,4.2,"67,310 Ratings","₹9,999","₹6,249"," 3,748 Reviews"
49,4.1,"7,390 Ratings","₹10,999","₹6,499", 306 Reviews
50,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
51,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
52,4.2,"1,01,658 Ratings","₹10,999","₹7,699"," 4,749 Reviews"
53,4.2,"1,01,658 Ratings","₹11,499","₹8,299"," 4,749 Reviews"
54,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
55,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
56,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
57,3.6,"4,406 Ratings","₹12,999","₹8,799", 214 Reviews
58,4.3,"3,223 Ratings","₹9,999","₹6,657", 136 Reviews
59,4.5,471 Ratings,"₹57,999","₹52,763", 38 Reviews
60,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
61,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
62,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
63,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
64,4.4,"1,11,561 Ratings","₹17,999","₹13,999"," 5,538 Reviews"
65,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
66,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
67,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
68,4.2,"67,519 Ratings","₹15,999","₹9,999"," 3,934 Reviews"
69,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
70,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
71,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
72,4.2,"67,310 Ratings","₹9,999","₹6,249"," 3,748 Reviews"
73,4.1,"7,390 Ratings","₹10,999","₹6,499", 306 Reviews
74,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
75,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
76,4.2,"1,01,658 Ratings","₹10,999","₹7,699"," 4,749 Reviews"
77,4.2,"1,01,658 Ratings","₹11,499","₹8,299"," 4,749 Reviews"
78,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
79,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
80,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
81,3.6,"4,406 Ratings","₹12,999","₹8,799", 214 Reviews
82,4.3,"3,223 Ratings","₹9,999","₹6,657", 136 Reviews
83,4.5,471 Ratings,"₹57,999","₹52,763", 38 Reviews
84,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
85,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
86,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
87,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
88,4.4,"1,11,561 Ratings","₹17,999","₹13,999"," 5,538 Reviews"
89,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
90,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
91,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
92,4.2,"67,519 Ratings","₹15,999","₹9,999"," 3,934 Reviews"
93,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
94,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
95,4.2,"12,865 Ratings","₹7,999","₹5,999", 950 Reviews
96,4.2,"67,310 Ratings","₹9,999","₹6,249"," 3,748 Reviews"
97,4.1,"7,390 Ratings","₹10,999","₹6,499", 306 Reviews
98,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
99,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
100,4.2,"1,01,658 Ratings","₹10,999","₹7,699"," 4,749 Reviews"
101,4.2,"1,01,658 Ratings","₹11,499","₹8,299"," 4,749 Reviews"
102,3.9,"29,781 Ratings","₹8,999","₹5,799"," 1,400 Reviews"
103,4.4,"14,853 Ratings","₹13,999","₹9,999", 472 Reviews
104,4.1,"14,155 Ratings","₹9,999","₹6,999", 707 Reviews
105,3.6,"4,406 Ratings","₹12,999","₹8,799", 214 Reviews
106,4.3,"3,223 Ratings","₹9,999","₹6,657", 136 Reviews
107,4.5,471 Ratings,"₹57,999","₹52,763", 38 Reviews
108,4.2,"53,774 Ratings",,"₹9,999"," 3,577 Reviews"
109,4.5,"10,671 Ratings","₹23,499","₹19,499", 531 Reviews
110,4.3,"2,12,390 Ratings",,"₹14,999"," 10,811 Reviews"
111,3.9,"29,781 Ratings","₹8,999","₹6,299"," 1,400 Reviews"
112,4.4,"1,11,561 Ratings","₹17,999","₹13,999"," 5,538 Reviews"
113,4.4,"17,423 Ratings","₹14,999","₹10,999", 543 Reviews
